,note,pro,con,anonymous,tutorial,topic,month,date
0,5,"very detailed and easy to follow, even for a complete beginner - great!",,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-14
1,5,"very detailed and easy to follow, thank you",,,Introduction to Genomics and Galaxy,Introduction to Galaxy Analyses,2018-09,2018-09-15
2,2,,,,Identification of the binding sites of the Estrogen receptor,Epigenetics,2018-09,2018-09-16
4,5,"Well structured, easy to understand.",,,From peaks to genes,Introduction to Galaxy Analyses,2018-09,2018-09-17
5,5,The data clean-up was thoroughly covered. Every step was well explained,Using the mock community. More light on rationale,,16S Microbial Analysis with mothur (extended),Metagenomics,2018-09,2018-09-17
6,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2018-09,2018-09-17
7,5,well explained,maybe by adding more pictures next to the explanations?,,From peaks to genes,Introduction to Galaxy Analyses,2018-09,2018-09-17
8,4,Well-structured and helpful,More information on the flanking region tool (how it works),,From peaks to genes,Introduction to Galaxy Analyses,2018-09,2018-09-17
9,5,"Very detailed, thank you",,,Mapping,Sequence analysis,2018-09,2018-09-17
10,5,perfect step by step !!!!,maybe use human data ??,,Hi-C analysis of Drosophila melanogaster cells using HiCExplorer,Epigenetics,2018-09,2018-09-18
11,4,Everything works with provided data and the scale is good for use in class,Could you provide the fragment size separating the paired ends? It would also be nice to have more info for instructors about the genome for doing additional exercises based on the assemblies.,,De Bruijn Graph Assembly,Assembly,2018-09,2018-09-19
12,5,İts explanatory feature,,,Reference-based RNA-Seq data analysis,Transcriptomics,2018-09,2018-09-20
13,2,,I am doing this tutorial 09/2018 -> the step using the JBrowse tool works only (at least in my hands) with this version: (Galaxy Version 1.12.5+galaxy0) i had troubles finding it (maybe the search does not work properly?),,Genome annotation with Prokka,Genome Annotation,2018-09,2018-09-21
14,0,,I am doing this tutorial 09/2018 -> the step using the JBrowse tool works only (at least in my hands) with this version: (Galaxy Version 1.12.5+galaxy0) i had troubles finding it (maybe the search does not work properly?),,Genome annotation with Prokka,Genome Annotation,2018-09,2018-09-21
15,5,,,,DNA Methylation data analysis,Epigenetics,2018-09,2018-09-21
16,5,,,,De Bruijn Graph Assembly,Assembly,2018-09,2018-09-22
17,3,,"Not clear that Trim Galore and FastQ are integrated into Galaxy. Uncertain how obtained 97,644 sequences after trim galore of bad data (I got 99,341).",,Quality Control,Sequence analysis,2018-09,2018-09-22
18,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-24
19,5,,,,Quality Control,Sequence analysis,2018-09,2018-09-24
20,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-25
21,4,The presentation of the tutorial and the practicality of it,The rate of update of the tutorial,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-26
22,5,I found it interesting and user friendly,nothing for now,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-27
23,5,makes life easy,very good,,NGS data logistics,Introduction to Galaxy Analyses,2018-09,2018-09-27
24,5,interesting and user friendly ,very good ,,Reference-based RNAseq data analysis (long),Transcriptomics,2018-09,2018-09-27
25,4,The tutorial was very interesting and easy to follow,Naming of the output files,,Reference-based RNA-Seq data analysis,Transcriptomics,2018-09,2018-09-27
26,4,easy to follow,,,Galaxy 101,Introduction to Galaxy Analyses,2018-09,2018-09-27
27,4,Many details and background information,Fasta merging parameter How are sequences judged to be unique? should be set to 'Accession only',,Protein FASTA Database Handling,Proteomics,2018-09,2018-09-29
28,5,"Well explained, great background information - my favourite was the greedy group resolution",,,Peptide and Protein ID using OpenMS tools,Proteomics,2018-09,2018-09-29
29,5,,,,An Introduction to Genome Assembly,Assembly,2018-10,2018-10-02
30,5,simplicity,pick a relevant induction based on your needs ,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-02
31,5,Background info such as: The explanation of 'doubtful' for all levels,"SearchGui crashed with the database containing mycoplasma, with human and crap database it worked",,Peptide and Protein ID using SearchGUI and PeptideShaker,Proteomics,2018-10,2018-10-03
32,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-03
33,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-03
34,5,,,,Protein FASTA Database Handling,Proteomics,2018-10,2018-10-04
35,3,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-10,2018-10-04
36,5,,,,IGV Introduction,Introduction to Galaxy Analyses,2018-10,2018-10-05
37,5,Very straight forward,Nothing,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-08
38,5,,More visual examples,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-08
39,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-10,2018-10-08
40,5,The good explanation and visual help,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-08
41,4,Examples and questionaries with solutions :-),More details regarding others output sections of FastQC tool,,Quality Control,Sequence analysis,2018-10,2018-10-08
42,5,,,,Ansible,Galaxy Server administration,2018-10,2018-10-09
43,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-10
44,5,"step by step introduction, everything is very clear and easy to find","some buttons do not exist (anymore)? Like in ""Look at all your histories"" under 3. at the top line there is a ""done"" button - this was not displayed when I did it. That is not a tragedy but it can be confusing....",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-10
46,5,"scope,  topic and clarity of tutorial",,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-17
47,5,it is clear,"would like to have example outputs for important steps, so if i made a mistake in step 7 i don't have to find out in step 19 and go back to revise everything. I can just use the dummy dataset for step 19 to continue and finish the practice",,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-17
48,5,"Nice clear , very informative",airconditioning less cold,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-17
49,4,,,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-17
50,3,It was well structured and simply explained,It would be very helpful if the parameter setting on the tools was discussed a bit more and explain the reason why to certain choices,,Network analysis with Heinz,Transcriptomics,2018-10,2018-10-18
51,5,Topic and clarity (DIY is easy),,,Network analysis with Heinz,Transcriptomics,2018-10,2018-10-18
52,5,Nice clear and good to start a bit further down for speed so it fits the program.,"note that the use of build list is unclear, perhaps good to move description of how to solve this  up so to prevent questions.",,Network analysis with Heinz,Transcriptomics,2018-10,2018-10-18
53,4,step by step manual ,it is good enough,,Network analysis with Heinz,Transcriptomics,2018-10,2018-10-18
54,5,Easy to follow and understand,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
55,5,Easy to follow with great pictures and arrows and labels,none,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
56,5,Detailed explanation with screenshots!,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
57,5,Intuitive and well executed. Images were useful in following the flow of the tutorial.,There is no answer to the question under the section entitled 'Re-run that tool with changed settings'. A 'Done' button does not appear in the view history screen as well. ,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
58,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
59,5,"explorations, explanations",,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
60,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-18
61,3,Clarity and background details,"Need a step on how to remove barcodes, adapters and primers from raw FASTAq sequences",,16S Microbial Analysis with mothur (extended),Metagenomics,2018-10,2018-10-19
62,5,Topic and completeness of the scope,I think there is an error: Join two Datasets tool  * with (output of the last Filter tool)  --> Should be with (output of Concatenate tool) ,,Reference-based RNA-Seq data analysis,Transcriptomics,2018-10,2018-10-19
63,5,,,,From peaks to genes,Introduction to Galaxy Analyses,2018-10,2018-10-21
64,5,Very very straightforward !,Nothing...,,Running the GTN website locally,Contributing to the Galaxy Training Material,2018-10,2018-10-22
66,1,,,,Calling variants in diploid systems,Variant Analysis,2018-10,2018-10-29
67,2,Krona,"It needs to be updated, some returns error and some is missing. Be more detail and specific",,Analyses of metagenomics data - The global picture,Metagenomics,2018-10,2018-10-29
68,4,"Easiness, ","You could link to short description of what a fastq format is, etc... and warn that Filterbyquality sometimes is not present. I could not find it. I use FilterFASTQ instead",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-10,2018-10-29
69,1,"Some instructions were not clear at all, please be more specific as i encounter errors very likely despite following the steps",Please review the protocol and revise some segments ,,Analyses of metagenomics data - The global picture,Metagenomics,2018-10,2018-10-30
70,5,It's easy to follow.,"For clean Ubuntu 18.04 Ansible couldn't find python (it was not installed, weird), so it crashed. There should be rule added to check and install python if it is not installed. Refer to this solution - https://gist.github.com/gwillem/4ba393dceb55e5ae276a87300f6b8e6f.",,Ansible,Galaxy Server administration,2018-10,2018-10-30
71,5,,,,Mapping,Sequence analysis,2018-10,2018-10-30
72,5,all of it!,how to rmemeber steps....,,Quality Control,Sequence analysis,2018-10,2018-10-31
73,1,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-01
74,5,This made using Galaxy very simple.,"This should be the first tutorial that shows up, even before the longer version as now I would feel more comfortable doing the long one whereas that one was overwhelming at first.",,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-01
75,5,"excellent intro, thanks!",,,Ansible,Galaxy Server administration,2018-11,2018-11-02
76,5,,"One could add a section describing the use of multiple datasets, tags, etc.",,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-04
77,1,I like the idea of it,"It seems impossible to complete.  The training data is not available in the shared data link.  If it is, it's too hard to find.  A more general point would be to explain how the tutorial could be used on other data sets.  or ref genomes.  For this I tried using an hg19 fasta file from another data set, but got an error about indexing.  So I guess, explaining how the training data sets are pre-formatted would help when trying to use sets from other sources",,Exome sequencing data analysis for diagnosing a genetic disease,Variant Analysis,2018-11,2018-11-04
78,2,,I'm still in the middle of it.  But when doing snpEFF there is no refernece genome available.  This tutorial does not say to download one.  Other variant analyses say to download hg19.  this is not available in the shared data folders.  When using an hg19 fasta from another source freeBayes fails because it isn't indexed.  Not sure how to index it.  SnpEFF calls for a database.  I downloaded one and am trying it now.  But it would be good to include this step in the tutorial,,Calling variants in diploid systems,Variant Analysis,2018-11,2018-11-04
79,2,I like the idea,"After running the FreeBayes I ended up with 2 variants instead of 30.  And so got stuck there.  Also it's not clear why the filtering and subsequent steps would be done on the markduplicates output, rather than the left align output.  Why do the leftalign if we don't use that output again?  I did both and got the same results. Overall I am finding the galaxy experience to be rather frustrating.  I'm trying to decide whether to incorporate these tutorials in my class, but often I can't find the necessary input data, get unexplained errors, or get output different from the tutorial",,Calling variants in non-diploid systems,Variant Analysis,2018-11,2018-11-04
80,5,This was very straight forward and ran well (once it was clear that it only runs on the eu site).  listing the file types was useful,maybe link to descriptions of the various file type generated/used,,Microbial Variant Calling,Variant Analysis,2018-11,2018-11-04
81,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-04
82,5,,,,An Introduction to Genome Assembly,Assembly,2018-11,2018-11-05
83,5,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-10
84,4,,,,IGV Introduction,Introduction to Galaxy Analyses,2018-11,2018-11-12
85,4,The overview of all the tools available.,The time for the processes on Galaxy.,,Analyses of metagenomics data - The global picture,Metagenomics,2018-11,2018-11-14
86,4,clear step by step module,,,Analyses of metagenomics data - The global picture,Metagenomics,2018-11,2018-11-14
87,4,,,,Galaxy 101,Introduction to Galaxy Analyses,2018-11,2018-11-15
88,5,Thorough step by step directions. Does not assume you know stuff already.,"Naming the output files was a little confusing, especially when I was left on my own to continue to name all the rest of them. Why doesn't the new name show up in the workflow boxes after you name them?",,Extracting Workflows from Histories,Using Galaxy and Managing your Data,2018-11,2018-11-15
89,3,TEST,TEST,,Ansible,Galaxy Server administration,2018-11,2018-11-15
90,5,Clear and consise,,,NGS data logistics,Introduction to Galaxy Analyses,2018-11,2018-11-17
91,5,Simplicity,Nothing,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-19
92,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-20
93,5,,,,A short introduction to Galaxy,Introduction to Galaxy Analyses,2018-11,2018-11-21
94,5,easy to follow individual steps,"Chipseq data seems a little more complex than more 1-dimensional seq reads (DNA/RNAseq), so would seem to me that starting with e.g. RNAseq analysis could be more logical ",,From peaks to genes,Introduction to Galaxy Analyses,2018-11,2018-11-22
95,4,Easy to follow tutorial,"We did not realize the 00000000rik names were also gene names, so we spent some time thinking we did something wrong...",,From peaks to genes,Introduction to Galaxy Analyses,2018-11,2018-11-22
96,5,,,,Mapping,Sequence analysis,2018-11,2018-11-26
